YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,TOTAL_ENROLLMENT,PRE_K_FULL_ENROLLMENT,PRE_K_HALF_ENROLLMENT,PRE_K_ENROLLMENT,K_12_ENROLLMENT,CHG_TOTAL_ENROLLMENT,PCT_CHG_TOTAL_ENROLLMENT,CHG_K_12_ENROLLMENT,PCT_CHG_K_12_ENROLLMENT,CHG_10Y_TOTAL_ENROLLMENT,CHG_10Y_K_12_ENROLLMENT,PCT_CHG_10Y_TOTAL_ENROLLMENT,PCT_CHG_10Y_K_12_ENROLLMENT
2012,2012-13,01,Atlantic,0010,Absecon Public Schools,866,0,0,0,866,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0010,Absecon City,864,0,14,14,850,-2,-0.002309468822170868,-16,-0.018475750577367167,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0010,Absecon City,828,0,0,0,828,-36,-0.04166666666666663,-22,-0.025882352941176467,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0010,Absecon City,862,11,0,11,851,34,0.04106280193236711,23,0.02777777777777768,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0010,Absecon City,817,25,0,25,792,-45,-0.05220417633410668,-59,-0.06933019976498234,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0010,Absecon City,874,27,0,27,847,57,0.06976744186046502,55,0.06944444444444442,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0010,Absecon City,859,44,0,44,815,-15,-0.017162471395881007,-32,-0.037780401416765086,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0010,Absecon City,907,62,0,62,845,48,0.055878928987194376,30,0.036809815950920255,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0010,Absecon Public Schools District,887,48,0,48,839,-20,-0.022050716648291058,-6,-0.007100591715976323,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0010,Absecon Public Schools District,900,72,0,72,828,13,0.014656144306651742,-11,-0.013110846245530383,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0010,Absecon Public Schools District,947,127,0,127,820,47,0.05222222222222217,-8,-0.009661835748792313,81,-46,0.09353348729792144,-0.053117782909930744
2012,2012-13,01,Atlantic,0110,Atlantic City Public Schools,7043,298,0,298,6745,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0110,Atlantic City,7309.5,336,0,336,6973.5,266.5,0.03783898906715888,228.5,0.03387694588584145,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0110,Atlantic City,7260,341,0,341,6919,-49.5,-0.006772009029345383,-54.5,-0.007815300781530032,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0110,Atlantic City,7130,436,0,436,6694,-130,-0.017906336088154284,-225,-0.03251915016620899,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0110,Atlantic City,6993,487,0,487,6506,-137,-0.019214586255259514,-188,-0.02808485210636391,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0110,Atlantic City,7016,510,0,510,6506,23,0.0032890032890033893,0,0,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0110,Atlantic City,6855,505,0,505,6350,-161,-0.022947548460661382,-156,-0.023977866584691032,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0110,Atlantic City,6779,502,0,502,6277,-76,-0.011086797957695071,-73,-0.011496062992126022,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0110,Atlantic City School District,6450,340,0,340,6110,-329,-0.04853223189260958,-167,-0.026605066114385845,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0110,Atlantic City School District,6337,432,0,432,5905,-113,-0.017519379844961214,-205,-0.03355155482815053,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0110,Atlantic City School District,6346,508,0,508,5838,9,0.0014202303929304883,-67,-0.011346316680779012,-697,-907,-0.09896350986795399,-0.13446997776130465
2012,2012-13,01,Atlantic,0120,Atlantic County Vocational School District,995.5,0,0,0,995.5,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0120,Atlantic Co Vocational,1210,0,0,0,1210,214.5,0.2154696132596685,214.5,0.2154696132596685,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0120,Atlantic Co Vocational,1398.5,0,0,0,1398.5,188.5,0.1557851239669421,188.5,0.1557851239669421,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0120,Atlantic Co Vocational,1499,0,0,0,1499,100.5,0.07186271004647837,100.5,0.07186271004647837,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0120,Atlantic Co Vocational,1556,0,0,0,1556,57,0.038025350233489075,57,0.038025350233489075,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0120,Atlantic Co Vocational,1610,0,0,0,1610,54,0.03470437017994854,54,0.03470437017994854,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0120,Atlantic Co Vocational,1647,0,0,0,1647,37,0.022981366459627228,37,0.022981366459627228,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0120,Atlantic Co Vocational,1714,0,0,0,1714,67,0.040680024286581684,67,0.040680024286581684,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0120,Atlantic County Vocational School District,1713,0,0,0,1713,-1,-5.834305717619115e-4,-1,-5.834305717619115e-4,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0120,Atlantic County Vocational School District,1751,0,0,0,1751,38,0.022183304144775207,38,0.022183304144775207,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0120,Atlantic County Vocational School District,1759,0,0,0,1759,8,0.004568817818389581,8,0.004568817818389581,763.5,763.5,0.76695128076343555,0.76695128076343555
2012,2012-13,01,Atlantic,0125,Atlantic County Special Services School District,417,6,0,6,411,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0125,Atlantic Co Special Serv,411,7,0,7,404,-6,-0.014388489208633115,-7,-0.01703163017031628,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0125,Atlantic Co Special Serv,411,3,0,3,408,0,0,4,0.00990099009900991,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0125,Atlantic Co Special Serv,375,8,0,8,367,-36,-0.08759124087591241,-41,-0.10049019607843135,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0125,Atlantic Co Special Serv,372,7,0,7,365,-3,-0.008000000000000007,-2,-0.00544959128065392,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0125,Atlantic Co Special Serv,346,10,0,10,336,-26,-0.06989247311827962,-29,-0.07945205479452055,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0125,Atlantic Co Special Serv,309,11,0,11,298,-37,-0.10693641618497107,-38,-0.11309523809523814,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0125,Atlantic Co Special Serv,322,4,0,4,318,13,0.04207119741100329,20,0.06711409395973145,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0125,Atlantic County Special Services School District,306,4,0,4,302,-16,-0.0496894409937888,-16,-0.05031446540880502,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0125,Atlantic County Special Services School District,288,2,0,2,286,-18,-0.05882352941176472,-16,-0.052980132450331174,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0125,Atlantic County Special Services School District,294,3,0,3,291,6,0.02083333333333326,5,0.0174825174825175,-123,-120,-0.29496402877697847,-0.291970802919708
2012,2012-13,01,Atlantic,0570,Brigantine Public Schools,757,0,60,60,697,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0570,Brigantine City,718,0,51,51,667,-39,-0.0515191545574637,-30,-0.04304160688665715,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0570,Brigantine City,687,0,49,49,638,-31,-0.04317548746518107,-29,-0.04347826086956519,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0570,Brigantine City,660,0,46,46,614,-27,-0.0393013100436681,-24,-0.037617554858934144,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0570,Brigantine City,613,0,41,41,572,-47,-0.07121212121212117,-42,-0.0684039087947883,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0570,Brigantine City,583,0,39,39,544,-30,-0.04893964110929849,-28,-0.04895104895104896,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0570,Brigantine City,559,57,0,57,502,-24,-0.04116638078902235,-42,-0.07720588235294112,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0570,Brigantine City,521,65,0,65,456,-38,-0.06797853309481217,-46,-0.0916334661354582,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0570,Brigantine Public School District,444,56,0,56,388,-77,-0.14779270633397312,-68,-0.14912280701754388,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0570,Brigantine Public School District,414,50,0,50,364,-30,-0.06756756756756754,-24,-0.061855670103092786,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0570,Brigantine Public School District,390,58,0,58,332,-24,-0.05797101449275366,-32,-0.08791208791208793,-367,-365,-0.48480845442536324,-0.5236728837876614
2012,2012-13,01,Atlantic,0590,Buena Regional School District,2181.5,0,81,81,2100.5,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0590,Buena Regional,2038.5,0,76,76,1962.5,-143,-0.06555122622049048,-138,-0.06569864318019514,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0590,Buena Regional,1830,0,45,45,1785,-208.5,-0.10228108903605593,-177.5,-0.09044585987261144,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0590,Buena Regional,1878,0,95,95,1783,48,0.026229508196721207,-2,-0.0011204481792717047,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0590,Buena Regional,1812,0,97,97,1715,-66,-0.03514376996805113,-68,-0.038137969713965214,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0590,Buena Regional,1739,0,82,82,1657,-73,-0.04028697571743933,-58,-0.0338192419825073,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0590,Buena Regional,1647,0,82,82,1565,-92,-0.05290396779758477,-92,-0.05552202776101389,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0590,Buena Regional,1674,112,0,112,1562,27,0.016393442622950838,-3,-0.00191693290734829,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0590,Buena Regional School District,1636,104,0,104,1532,-38,-0.022700119474313052,-30,-0.01920614596670933,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0590,Buena Regional School District,1573,107,0,107,1466,-63,-0.03850855745721271,-66,-0.04308093994778073,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0590,Buena Regional School District,1558,119,0,119,1439,-15,-0.009535918626827677,-27,-0.018417462482946845,-623.5,-661.5,-0.28581251432500576,-0.3149250178528922
2012,2012-13,01,Atlantic,1300,Egg Harbor City School District,503,50,0,50,453,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1300,Egg Harbor City,491,45,0,45,446,-12,-0.02385685884691846,-7,-0.015452538631346546,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1300,Egg Harbor City,502,57,0,57,445,11,0.022403258655804503,-1,-0.0022421524663677195,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1300,Egg Harbor City,527,56,0,56,471,25,0.04980079681274896,26,0.05842696629213484,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1300,Egg Harbor City,502,53,0,53,449,-25,-0.04743833017077803,-22,-0.04670912951167727,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1300,Egg Harbor City,535,49,0,49,486,33,0.06573705179282863,37,0.08240534521158138,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1300,Egg Harbor City,534,49,0,49,485,-1,-0.0018691588785046953,-1,-0.002057613168724326,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1300,Egg Harbor City,477,45,0,45,432,-57,-0.1067415730337079,-53,-0.10927835051546386,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1300,Egg Harbor City School District,509,31,0,31,478,32,0.06708595387840677,46,0.1064814814814814,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1300,Egg Harbor City School District,520,41,0,41,479,11,0.0216110019646365,1,0.0020920502092049986,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1300,Egg Harbor City School District,553,56,0,56,497,33,0.06346153846153846,18,0.03757828810020869,50,44,0.09940357852882697,0.09713024282560712
2012,2012-13,01,Atlantic,1310,Egg Harbor Township School District,7711.5,0,42,42,7669.5,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1310,Egg Harbor Twp,7646.5,0,104,104,7542.5,-65,-0.008428969720547186,-127,-0.016559097724753946,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1310,Egg Harbor Twp,7566,0,103,103,7463,-80.5,-0.010527692408291323,-79.5,-0.010540271793172074,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1310,Egg Harbor Twp,7394,1,114,115,7279,-172,-0.02273328046523926,-184,-0.024654964491491405,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1310,Egg Harbor Twp,7428,0,127,127,7301,34,0.00459832296456586,22,0.00302239318587727,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1310,Egg Harbor Twp,7364,0,140,140,7224,-64,-0.008616047388260606,-77,-0.010546500479386434,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1310,Egg Harbor Twp,7356,0,111,111,7245,-8,-0.0010863661053774898,21,0.0029069767441860517,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1310,Egg Harbor Twp,7302,0,137,137,7165,-54,-0.007340946166394802,-80,-0.011042097998619771,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1310,Egg Harbor Township School District,7109,0,120,120,6989,-193,-0.026431114763078578,-176,-0.02456385205861833,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1310,Egg Harbor Township School District,7358,413,0,413,6945,249,0.03502602335068228,-44,-0.006295607383030477,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1310,Egg Harbor Township School District,7509,484,0,484,7025,151,0.02052188094590912,80,0.011519078473722022,-202.5,-644.5,-0.02625948259093558,-0.08403416128821961
2012,2012-13,01,Atlantic,1410,Estell Manor City School District,187,0,0,0,187,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1410,Estell Manor City,181,0,0,0,181,-6,-0.03208556149732622,-6,-0.03208556149732622,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1410,Estell Manor City,163,0,0,0,163,-18,-0.09944751381215466,-18,-0.09944751381215466,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1410,Estell Manor City,173,0,0,0,173,10,0.06134969325153383,10,0.06134969325153383,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1410,Estell Manor City,172,0,0,0,172,-1,-0.005780346820809301,-1,-0.005780346820809301,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1410,Estell Manor City,184,0,0,0,184,12,0.06976744186046502,12,0.06976744186046502,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1410,Estell Manor City,181,0,0,0,181,-3,-0.016304347826086918,-3,-0.016304347826086918,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1410,Estell Manor City,195,0,0,0,195,14,0.07734806629834257,14,0.07734806629834257,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1410,Estell Manor School District,189,0,0,0,189,-6,-0.03076923076923077,-6,-0.03076923076923077,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1410,Estell Manor School District,180,0,0,0,180,-9,-0.04761904761904767,-9,-0.04761904761904767,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1410,Estell Manor School District,177,0,0,0,177,-3,-0.01666666666666672,-3,-0.01666666666666672,-10,-10,-0.053475935828877,-0.053475935828877
2012,2012-13,01,Atlantic,1540,Folsom Borough School District,419,18,0,18,401,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1540,Folsom Boro,433,18,0,18,415,14,0.03341288782816232,14,0.034912718204488824,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1540,Folsom Boro,419,17,0,17,402,-14,-0.0323325635103926,-13,-0.031325301204819245,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1540,Folsom Boro,401,16,0,16,385,-18,-0.042959427207637235,-17,-0.04228855721393032,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1540,Folsom Boro,404,18,0,18,386,3,0.007481296758104827,1,0.0025974025974024872,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1540,Folsom Boro,399,14,0,14,385,-5,-0.012376237623762387,-1,-0.002590673575129543,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1540,Folsom Boro,402,14,0,14,388,3,0.007518796992481258,3,0.007792207792207684,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1540,Folsom Boro,386,16,0,16,370,-16,-0.03980099502487566,-18,-0.046391752577319534,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1540,Folsom Borough School District,385,11,0,11,374,-1,-0.002590673575129543,4,0.0108108108108107,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1540,Folsom Borough School District,382,12,0,12,370,-3,-0.007792207792207795,-4,-0.010695187165775444,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1540,Folsom Borough School District,376,18,0,18,358,-6,-0.015706806282722474,-12,-0.032432432432432434,-43,-43,-0.10262529832935563,-0.10723192019950123
2012,2012-13,01,Atlantic,1690,Galloway Township Public Schools,3396,31,0,31,3365,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1690,Galloway Twp,3336,34,0,34,3302,-60,-0.017667844522968212,-63,-0.018722139673105542,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1690,Galloway Twp,3275,32,0,32,3243,-61,-0.018285371702637887,-59,-0.017867958812840756,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1690,Galloway Twp,3286,37,0,37,3249,11,0.0033587786259541286,6,0.0018501387604070718,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1690,Galloway Twp,3269,51,0,51,3218,-17,-0.005173463177114979,-31,-0.009541397353031722,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1690,Galloway Twp,3288,101,0,101,3187,19,0.005812174977057216,-31,-0.009633312616531997,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1690,Galloway Twp,3302,95,0,95,3207,14,0.0042579075425790425,20,0.00627549419516793,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1690,Galloway Twp,3301,117,0,117,3184,-1,-3.0284675953962115e-4,-23,-0.007171811661989436,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1690,Galloway Township Public School District,3261,197,0,197,3064,-40,-0.012117540139351735,-120,-0.03768844221105527,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1690,Galloway Township Public School District,3148,208,0,208,2940,-113,-0.03465194725544307,-124,-0.04046997389033946,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1690,Galloway Township Public School District,3151,200,0,200,2951,3,9.52986022871638e-4,11,0.0037414965986395377,-245,-414,-0.07214369846878677,-0.12303120356612185
2012,2012-13,01,Atlantic,1790,Greater Egg Harbor Regional High School District,3633,0,0,0,3633,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1790,Greater Egg Harbor Reg,3483,0,0,0,3483,-150,-0.041288191577208866,-150,-0.041288191577208866,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1790,Greater Egg Harbor Reg,3312,0,0,0,3312,-171,-0.04909560723514217,-171,-0.04909560723514217,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1790,Greater Egg Harbor Reg,3273,0,0,0,3273,-39,-0.011775362318840576,-39,-0.011775362318840576,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1790,Greater Egg Harbor Reg,3185,0,0,0,3185,-88,-0.026886648334860985,-88,-0.026886648334860985,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1790,Greater Egg Harbor Reg,3124,0,0,0,3124,-61,-0.019152276295133386,-61,-0.019152276295133386,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1790,Greater Egg Harbor Reg,3096,0,0,0,3096,-28,-0.008962868117797673,-28,-0.008962868117797673,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1790,Greater Egg Harbor Reg,3031,0,0,0,3031,-65,-0.02099483204134367,-65,-0.02099483204134367,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1790,Greater Egg Harbor Regional High School District,3004,0,0,0,3004,-27,-0.008907951171230666,-27,-0.008907951171230666,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1790,Greater Egg Harbor Regional High School District,3083,0,0,0,3083,79,0.026298268974700445,79,0.026298268974700445,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1790,Greater Egg Harbor Regional High School District,2968,0,0,0,2968,-115,-0.03730132987349988,-115,-0.03730132987349988,-665,-665,-0.18304431599229287,-0.18304431599229287
2012,2012-13,01,Atlantic,1940,Hamilton Township School District,3075,0,179,179,2896,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1940,Hamilton Twp,3186,0,184,184,3002,111,0.03609756097560979,106,0.036602209944751385,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1940,Hamilton Twp,3102,9,130,139,2963,-84,-0.026365348399246757,-39,-0.012991339107261801,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1940,Hamilton Twp,3076,68,124,192,2884,-26,-0.008381689232753065,-79,-0.026662166722915992,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1940,Hamilton Twp,3182,106,130,236,2946,106,0.03446033810143034,62,0.021497919556171974,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1940,Hamilton Twp,3074,113,117,230,2844,-108,-0.033940917661847925,-102,-0.03462321792260692,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1940,Hamilton Twp,3164,183,90,273,2891,90,0.029277813923227036,47,0.016526019690576543,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1940,Hamilton Twp,3022,208,81,289,2733,-142,-0.044879898862199785,-158,-0.05465236942234519,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1940,Hamilton Township School District,2857,231,0,231,2626,-165,-0.05459960291197885,-107,-0.03915111598975485,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1940,Hamilton Township School District,2870,262,0,262,2608,13,0.004550227511375571,-18,-0.006854531607006886,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1940,Hamilton Township School District,2875,310,0,310,2565,5,0.0017421602787457413,-43,-0.016487730061349737,-200,-331,-0.06504065040650409,-0.11429558011049723
2012,2012-13,01,Atlantic,1960,Hammonton School District,3601,0,114,114,3487,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,1960,Hammonton Town,3630.5,1,130,131,3499.5,29.5,0.008192168841988368,12.5,0.0035847433323774602,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1960,Hammonton Town,3600,0,122,122,3478,-30.5,-0.008401046687784075,-21.5,-0.006143734819259894,NA,NA,NA,NA
2015,2015-16,01,Atlantic,1960,Hammonton Town,3645,4,119,123,3522,45,0.012499999999999956,44,0.01265094882116169,NA,NA,NA,NA
2016,2016-17,01,Atlantic,1960,Hammonton Town,3584,0,119,119,3465,-61,-0.016735253772290792,-57,-0.016183986371379855,NA,NA,NA,NA
2017,2017-18,01,Atlantic,1960,Hammonton Town,3496,0,104,104,3392,-88,-0.024553571428571397,-73,-0.021067821067821013,NA,NA,NA,NA
2018,2018-19,01,Atlantic,1960,Hammonton Town,3500,0,132,132,3368,4,0.0011441647597254523,-24,-0.007075471698113178,NA,NA,NA,NA
2019,2019-20,01,Atlantic,1960,Hammonton Town,3495,0,131,131,3364,-5,-0.0014285714285714457,-4,-0.001187648456057011,NA,NA,NA,NA
2020,2020-21,01,Atlantic,1960,Hammonton School District,3383,0,95,95,3288,-112,-0.032045779685264675,-76,-0.022592152199762183,NA,NA,NA,NA
2021,2021-22,01,Atlantic,1960,Hammonton School District,3320,0,105,105,3215,-63,-0.018622524386639028,-73,-0.02220194647201945,NA,NA,NA,NA
2022,2022-23,01,Atlantic,1960,Hammonton School District,3340,104,0,104,3236,20,0.006024096385542244,21,0.006531881804043627,-261,-251,-0.07247986670369344,-0.07198164611413826
2012,2012-13,01,Atlantic,2680,Linwood City School District,885,0,15,15,870,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,2680,Linwood City,863,1,24,25,838,-22,-0.024858757062146908,-32,-0.0367816091954023,NA,NA,NA,NA
2014,2014-15,01,Atlantic,2680,Linwood City,860,1,19,20,840,-3,-0.0034762456546929554,2,0.0023866348448686736,NA,NA,NA,NA
2015,2015-16,01,Atlantic,2680,Linwood City,832,0,22,22,810,-28,-0.032558139534883734,-30,-0.0357142857142857,NA,NA,NA,NA
2016,2016-17,01,Atlantic,2680,Linwood City,835,0,20,20,815,3,0.0036057692307691624,5,0.006172839506172867,NA,NA,NA,NA
2017,2017-18,01,Atlantic,2680,Linwood City,819,11,11,22,797,-16,-0.019161676646706538,-18,-0.02208588957055213,NA,NA,NA,NA
2018,2018-19,01,Atlantic,2680,Linwood City,807,19,4,23,784,-12,-0.0146520146520146,-13,-0.016311166875784155,NA,NA,NA,NA
2019,2019-20,01,Atlantic,2680,Linwood City,821,11,17,28,793,14,0.017348203221809078,9,0.011479591836734748,NA,NA,NA,NA
2020,2020-21,01,Atlantic,2680,Linwood City School District,807,1,26,27,780,-14,-0.01705237515225333,-13,-0.016393442622950838,NA,NA,NA,NA
2021,2021-22,01,Atlantic,2680,Linwood City School District,791,1,28,29,762,-16,-0.019826517967781898,-18,-0.023076923076923106,NA,NA,NA,NA
2022,2022-23,01,Atlantic,2680,Linwood City School District,803,36,2,38,765,12,0.015170670037926604,3,0.003937007874015741,-82,-105,-0.09265536723163836,-0.12068965517241381
2012,2012-13,01,Atlantic,2910,Mainland Regional High School District,1401.5,0,0,0,1401.5,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,2910,Mainland Regional,1418,0,0,0,1418,16.5,0.011773100249732327,16.5,0.011773100249732327,NA,NA,NA,NA
2014,2014-15,01,Atlantic,2910,Mainland Regional,1355.5,0,0,0,1355.5,-62.5,-0.04407616361071931,-62.5,-0.04407616361071931,NA,NA,NA,NA
2015,2015-16,01,Atlantic,2910,Mainland Regional,1316,0,0,0,1316,-39.5,-0.029140538546661765,-39.5,-0.029140538546661765,NA,NA,NA,NA
2016,2016-17,01,Atlantic,2910,Mainland Regional,1302,0,0,0,1302,-14,-0.010638297872340385,-14,-0.010638297872340385,NA,NA,NA,NA
2017,2017-18,01,Atlantic,2910,Mainland Regional,1267,0,0,0,1267,-35,-0.026881720430107503,-35,-0.026881720430107503,NA,NA,NA,NA
2018,2018-19,01,Atlantic,2910,Mainland Regional,1226,0,0,0,1226,-41,-0.03235990528808208,-41,-0.03235990528808208,NA,NA,NA,NA
2019,2019-20,01,Atlantic,2910,Mainland Regional,1239,0,0,0,1239,13,0.010603588907014627,13,0.010603588907014627,NA,NA,NA,NA
2020,2020-21,01,Atlantic,2910,Mainland Regional High School,1239,0,0,0,1239,0,0,0,0,NA,NA,NA,NA
2021,2021-22,01,Atlantic,2910,Mainland Regional High School,1213,0,0,0,1213,-26,-0.02098466505246166,-26,-0.02098466505246166,NA,NA,NA,NA
2022,2022-23,01,Atlantic,2910,Mainland Regional High School,1181,0,0,0,1181,-32,-0.02638087386644683,-32,-0.02638087386644683,-220.5,-220.5,-0.1573314306100606,-0.1573314306100606
2012,2012-13,01,Atlantic,3020,Margate City School District,473,0,3,3,470,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,3020,Margate City,456,0,2,2,454,-17,-0.03594080338266381,-16,-0.03404255319148941,NA,NA,NA,NA
